<titre>|<auteurs>|<editeur>|<annee/copyright>|<isbn-10>|<isbn-13>|<lang>|<cote>
Lanfeust de Troy (01) L'ivoire du Magohamoth|Arleston, Tarquin|Soleil|||9782877642576|fr|
Lanfeust de Troy (02) Thanos L'incongru|Arleston, Tarquin|Soleil|||9782877643061|fr|
Lanfeust de Troy (03) Castel Or-Azur|Arleston, Tarquin|Soleil|||9782877643948|fr|
Lanfeust de Troy (04) Le Paladin D'Eckmül|Arleston, Tarquin|Soleil|||9782877645669|fr|
Lanfeust de Troy (05) Cixi Impératrice|Arleston, Tarquin|Soleil|||9782877647953|fr|
Lanfeust de Troy (05) Le Frisson de L'haruspice|Arleston, Tarquin|Soleil|||9782877646468|fr|
Lanfeust de Troy (06) Les Pétaures se cachent pour mourir|Arleston, Tarquin|Soleil|||9782877649230|fr|
Lanfeust de Troy (08) La bête fabuleuse|Arleston, Tarquin|Soleil|||9782845650336|fr|
Lanfeust des Etoiles (1) Un, deux... Troy|Arleston, Tarquin|Soleil|||9782845655065|fr|
Lanfeust des Etoiles (2) Les tours de Meirrion|Arleston, Tarquin|Soleil|||9782845654051|fr|
Lanfeust des Etoiles (3) Les sables d'Abraxar|Arleston, Tarquin|Soleil|||9782845656833|fr|
Largo Winch (01) L'héritier|Philippe Franck, Jean Van Hamme|Dupuis||2800132108||fr|
Largo Winch (02) Le groupe W|Philippe Franck, Jean Van Hamme|Dupuis|||9782800118321|fr|
Largo Winch (03) O.P.A.|Philippe Franck, Jean Van Hamme|Dupuis|||9782800119472|fr|
Largo Winch (04) Business Blues|Philippe Franck, Jean Van Hamme|Dupuis|||9782800120461|fr|
Largo Winch (05) H|Philippe Franck, Jean Van Hamme|Dupuis|||9782800121277|fr|
Largo Winch (06) Dutch connection|Philippe Franck, Jean Van Hamme|Dupuis|||9782800122014|fr|
Largo Winch (07) la forteresse de Makiling|Philippe Franck, Jean Van Hamme|Dupuis|||9782800123073|fr|
Largo Winch (08) L'heure du tigre|Philippe Franck, Jean Van Hamme|Dupuis|||9782800124445|fr|
Largo Winch (09) Voir Venise...|Philippe Franck, Jean Van Hamme|Dupuis|||9782800126289|fr|
Largo Winch (10) … ET Mourir|Philippe Franck, Jean Van Hamme|Dupuis|||9782800128498|fr|
Largo Winch (11) Golden Gate|Philippe Franck, Jean Van Hamme|Dupuis|||9782800129815|fr|
Largo Winch (12) Shadow|Philippe Franck, Jean Van Hamme|Dupuis|||9782800131238|fr|
Largo Winch (13) Le prix de l'argent|Philippe Franck, Jean Van Hamme|Dupuis|||9782800133874|fr|
Largo Winch (14) La loi du dollar|Philippe Franck, Jean Van Hamme|Dupuis|||9782800135366|fr|
Largo Winch (15) les trois yeux  des gardiens du tao|Philippe Franck, Jean Van Hamme|Dupuis|||9782800138619|fr|
Largo Winch (16) La voie et la vertu|Philippe Franck, Jean Van Hamme|Dupuis|||9782800140704|fr|
Le chant des stryges - T01 Ombres|Corbeyran, Guerineau, Merlet|Delcourt|||9782847895391|fr|
Le chant des stryges - T02 Pièges|Corbeyran, Guerineau, Merlet|Delcourt|||9782847895407|fr|
Le chant des stryges - T03 Emprises|Corbeyran, Guerineau, Merlet|Delcourt|||9782847895469|fr|
Le chant des stryges - T04 Experiences|Corbeyran, Guerineau, Merlet|Delcourt|||9782847895476|fr|
Le chant des stryges - T05 Vestiges|Corbeyran, Guerineau, Ruby|Delcourt|||9782847896138|fr|
Le chant des stryges - T06 Existences|Corbeyran, Guerineau, Ruby|Delcourt|||9782847896145|fr|
Le chant des stryges - T07  Rencontres|Corbeyran, Guerineau, Ruby|Delcourt|||9782847894844|fr|
Le chant des stryges - T08 Defis|Corbeyran, Guerineau, Ruby|Delcourt|||9782847894608|fr|
Le chant des stryges - T09 Révélations|Corbeyran, Guerineau, Favrelle|Delcourt|||9782847898323|fr|
Le chant des stryges - T10 Manipulations|Corbeyran, Guerineau, Favrelle|Delcourt|||9782756002682|fr|
Le chant des stryges - T11 Cellules|Corbeyran, Guerineau, Hédon|Delcourt|||9782756005768|fr|
Le chant des stryges - T12 Chutes|Corbeyran, Guerineau, Hédon|Delcourt|||9782756011783|fr|
Le Chat du Rabbin (1) a Bar-Mitsva|Joann Sfar|Dargaud|||9782205052077|fr|
Le Chat du Rabbin (2) Le Malka des Lions|Joann Sfar|Dargaud|||9782205053692|fr|
Le Chat du Rabbin (3) L'Exode|Joann Sfar|Dargaud|||9782205054972|fr|
Le Chat du Rabbin (4) Le  Paradis terrestre|Joann Sfar|Dargaud|||9782205057256|fr|
Le combat ordinaire - T1|Manu Larcenet|Dargaud|||9782205054255|fr|
Le combat ordinaire - T2 Les quantités négligeables|Manu Larcenet|Dargaud|||9782205055894|fr|
Le combat ordinaire - T3 Ce qui est précieux|Manu Larcenet|Dargaud|||9782205057911|fr|
Le combat ordinaire - T3 Ce qui est précieux|Manu Larcenet|Dargaud|||9782205057901|fr|
Le combat ordinaire - T4 Planter des clous|Manu Larcenet|Dargaud|||9782205061406|fr|
Le complexe du chimpanzé - T1 paradoxe|Marazano, ponzio|Dargaud|||9782205059038|fr|
Le complexe du chimpanzé - T2 Les fils d'arès|Marazano, ponzio|Dargaud|||9782205059946|fr|
Le complexe du chimpanzé - T3 Civilisation|Marazano, ponzio|Dargaud|||9782205060218|fr|
Le Cycle de Cyann -  La Source et la Sonde - T1|Bourgeon, Lacroix|Casterman|||9782203388574|fr|
Le Fléau - T1 Captain Trips|Stephen King, Aguirre Sacasa, Perkins, Martin|Delcourt|||9782756021294|fr|
Le Fléau - T2 L'Homme sans visage|Stephen King, Aguirre Sacasa, Perkins, Martin|Delcourt|||9782756021300|fr|
Le Fléau - T3 Le cauchemard Américain|Stephen King, Aguirre Sacasa, Perkins, Martin|Delcourt|||9782756022215|fr|
Le Grand Mort (1) Larmes d'abeille|Loisel, Mallié, JB Djian, Lapierre|Vents d'Ouest|||9782749302683|fr|
Le Grand Mort (2) Pauline...|Loisel, Mallié, JB Djian, Lapierre|Vents d'Ouest|2008||9782749303949|fr|
Le Grand Mort (3) Blanche|Loisel, Mallié, JB Djian, Lapierre|Vents d'Ouest|2011||9782749305950|fr|
